jobId,nEvt,nProc,nInst,nInstOk,nShMem,slurmUserCpu,slurmWallTime,slurmAveRss,slurmMaxRss
5266595,1600,40,1,1,1,106955,2988,3350532096,3350532096
5266596,1600,20,2,2,2,109170,3116,3822157824,3822157824
5266597,1600,21,2,2,2,105336,2820,3825799168,3825799168
5266598,1600,22,2,2,2,111617,2905,3985080320,3985080320
5266599,1600,23,2,2,2,110798,2756,4075663360,4075663360
5266600,1600,24,2,2,2,109468,2629,4293160960,4293160960
5266601,1600,25,2,2,2,115956,2781,4433649664,4433649664
5266602,1600,27,2,2,2,111164,2381,4614356992,4614356992
5266603,1600,30,2,2,2,114018,2228,4985663488,4985663488
5266604,1600,35,2,0,0,55623,7256,2849574912,2849574912
5266605,1600,40,2,2,2,124139,1933,5784948736,5784948736
5266606,1600,14,3,3,3,109456,2859,4371304448,4371304448
5266607,1600,17,3,3,3,111583,2643,4734771200,4734771200
5266608,1600,19,3,3,3,106204,2200,5008338944,5008338944
5266609,1600,20,3,3,3,114688,2271,5268537344,5268537344
5266610,1600,21,3,3,3,113752,2096,5538394112,5538394112
5266611,1600,22,3,3,3,112297,2041,5546409984,5546409984
5266612,1600,23,3,3,3,115598,2034,6511980544,6511980544
5266613,1600,24,3,3,3,117777,1996,5873815552,5873815552
5266614,1600,25,3,3,3,124227,1938,5911339008,5911339008
5266615,1600,27,3,3,3,127245,1915,6297952256,6297952256
5266616,1600,30,3,3,3,129961,1785,6689759232,6689759232
5266617,1600,35,3,3,3,146462,1727,8227258368,8227258368
5266618,1600,40,3,3,3,152815,1570,8670674944,8670674944
5266619,1600,10,4,4,4,113216,3604,4560515072,4560515072
5266620,1600,14,4,4,4,112434,2384,5475151872,5475151872
5266621,1600,17,4,4,4,118194,2007,6075617280,6075617280
5266622,1600,19,4,4,4,119066,1918,6517972992,6517972992
5266623,1600,20,4,4,4,125932,1976,6788972544,6788972544
5266624,1600,21,4,4,4,125722,1947,6884827136,6884827136
5266625,1600,22,4,4,4,132032,1775,7473623040,7473623040
5266626,1600,23,4,4,4,138300,1859,7360864256,7360864256
5266627,1600,24,4,4,4,140284,1758,7411032064,7411032064
5266628,1600,25,4,0,0,91381,7262,5959278592,5959278592
5266629,1600,27,4,4,4,140567,1703,7972958208,7972958208
5266630,1600,30,4,4,4,152242,1545,8791953408,8791953408
5266631,1600,35,4,4,4,171044,1546,9553387520,9553387520
5266632,1600,40,4,4,4,185275,1535,11476049920,11476049920
5266633,1600,10,5,5,5,110224,2554,5580386304,5580386304
5266634,1600,14,5,5,5,115063,1994,6423908352,6423908352
5266635,1600,17,5,5,5,127047,1847,7675609088,7675609088
5266636,1600,19,5,5,5,136765,1744,7897939968,7897939968
5266637,1600,20,5,5,5,141418,1809,8168759296,8168759296
5266638,1600,21,5,5,5,144669,1768,8227573760,8227573760
5266639,1600,22,5,5,5,150168,1753,8523898880,8523898880
5266640,1600,23,5,5,5,150324,1598,8664891392,8664891392
5266641,1600,24,5,5,5,153944,1590,9542848512,9542848512
5266642,1600,25,5,5,5,155245,1688,9198288896,9198288896
5266643,1600,27,5,5,5,155567,1518,9466978304,9466978304
5266644,1600,30,5,5,5,180662,1514,11007188992,11007188992
5266645,1600,35,5,5,5,195506,1500,11825655808,11825655808
5266646,1600,40,5,5,5,208267,1379,12660301824,12660301824
5266647,1600,10,6,6,6,111916,2299,6478102528,6478102528
5266648,1600,14,6,6,6,125730,1904,7508299776,7508299776
5266649,1600,17,6,6,6,143177,1840,8367587328,8367587328
5266650,1600,19,6,6,6,153723,1664,9569935360,9569935360
5266651,1600,20,6,6,6,159309,1642,9356034048,9356034048
5266652,1600,21,6,6,6,161061,1618,9661034496,9661034496
5266653,1600,22,6,6,6,161831,1597,9862139904,9862139904
5266654,1600,23,6,6,6,159785,1531,10321027072,10321027072
